Tanggal,Merek,DPLK,Tipe Risiko,Saham,Pasar Uang / Kas,Pendapatan Tetap (Obligasi / SBN / Sukuk),Total Invest,1 Bulan,3 Bulan,6 Bulan,1 Tahun,3 Tahun,5 Tahun,AUM (M),Link
Maret 2023,BNI,FFS_BNI_Simponi_Likuid_Syariah,Moderat,0,62.65,37.35,100,0.61,1.6,3.03,4.07,19.86,35.43,,https://drive.google.com/file/d/11WcSaTCs7fNe8qJijJzzs73-NuWMgqxf/view?usp=drive_link
April 2023,BNI,FFS_BNI_Simponi_Likuid_Syariah,Moderat,0,62.91,37.09,100,0.54,1.57,3.32,4.62,19.77,35.35,,https://drive.google.com/file/d/1Tjajkcc5qalDlLXb7u6OF-0Hq2rOU8y7/view?usp=drive_link
Januari 2023,BNI,FFS_BNI_Simponi_Moderat,Moderat,0,49.59,50.41,100,0.57,2.54,2.87,3.92,18.31,33.36,,https://drive.google.com/file/d/1hZQRpgzN0uD4QTI81oJ86GHVUSQlJPsS/view?usp=drive_link
Februari 2023,BNI,FFS_BNI_Simponi_Moderat,Moderat,0,45.31,54.69,100,0.31,1.61,2.77,3.87,18.06,33.29,,https://drive.google.com/file/d/10CgxflOzdbUZOEaTGkLlReksBc0ZowxX/view?usp=drive_link
Maret 2023,BNI,FFS_BNI_Simponi_Moderat,Moderat,0,45.58,54.42,100,0.64,1.53,3.47,4.49,18.57,33.31,,https://drive.google.com/file/d/15KzCHZ0MIjjwiGpD4BL1a776owf4U3Jm/view?usp=drive_link
April 2023,BNI,FFS_BNI_Simponi_Moderat,Moderat,0,45.31,54.69,100,0.56,1.51,4.05,5.32,18.41,33.42,,https://drive.google.com/file/d/1jAygxW1SnTbJxDPgDbWc_fLB-tl9ctid/view?usp=drive_link
Januari 2023,Generali,DPLK_Generali_Equity,Agresif,92.49,7.51,0,100,0.67,-6.23,,-3.82,,,65.04,https://drive.google.com/file/d/18O5EmHtRbbDWhu25dYbnrMcLbVO8A8TI/view?usp=drive_link
Februari 2023,Generali,DPLK_Generali_Equity,Agresif,88.7,11.3,0,100,0.98,-3.91,,-4.97,,,68.35,https://drive.google.com/file/d/1Y9RErDupxYfJ2SWcPQPvQE333tsr5ZQM/view?usp=drive_link
Maret 2023,Generali,DPLK_Generali_Equity,Agresif,99.25,0.75,0,100,-2.94,-1.33,,-11.5,,,64.46,https://drive.google.com/file/d/1gmA7wjrwUe5Ve9T63gCpcNKbVO8mkoIF/view?usp=drive_link
April 2023,Generali,DPLK_Generali_Equity,Agresif,96.67,3.33,0,100,1.48,-0.54,,-12.68,,,67.11,https://drive.google.com/drive/folders/1WLpKW2jGZal8JHRnE_S5GUSUBV5x1Rvl?usp=drive_link
Januari 2023,Generali,DPLK_Generali_Money Market,Konservatif,,100,0,100,0.36,0.96,,3.16,,,310.01,https://drive.google.com/file/d/18O5EmHtRbbDWhu25dYbnrMcLbVO8A8TI/view?usp=drive_link
Februari 2023,Generali,DPLK_Generali_Money Market,Konservatif,,100,0,100,0.33,1.1,,3.28,,,330.15,https://drive.google.com/file/d/1Y9RErDupxYfJ2SWcPQPvQE333tsr5ZQM/view?usp=drive_link
Maret 2023,Generali,DPLK_Generali_Money Market,Konservatif,,100,0,100,0.39,1.08,,3.41,,,334.24,https://drive.google.com/file/d/1gmA7wjrwUe5Ve9T63gCpcNKbVO8mkoIF/view?usp=drive_link
April 2023,Generali,DPLK_Generali_Money Market,Konservatif,,100,0,100,0.34,1.06,,3.54,,,337.58,https://drive.google.com/drive/folders/1WLpKW2jGZal8JHRnE_S5GUSUBV5x1Rvl?usp=drive_link
Januari 2023,Generali,DPLK_Generali_Fixed Income,Moderat,,29.44,70.56,100,1.49,4.67,,6.71,,,80.11,https://drive.google.com/file/d/18O5EmHtRbbDWhu25dYbnrMcLbVO8A8TI/view?usp=drive_link
Februari 2023,Generali,DPLK_Generali_Fixed Income,Moderat,,17.38,82.62,100,0.23,2.34,,6.54,,,85.03,https://drive.google.com/file/d/1Y9RErDupxYfJ2SWcPQPvQE333tsr5ZQM/view?usp=drive_link
Maret 2023,Generali,DPLK_Generali_Fixed Income,Moderat,,8.29,91.71,100,0.86,2.6,,7.32,,,88.51,https://drive.google.com/file/d/1gmA7wjrwUe5Ve9T63gCpcNKbVO8mkoIF/view?usp=drive_link
April 2023,Generali,DPLK_Generali_Fixed Income,Moderat,,2.36,97.64,100,1.08,2.19,,8.82,,,93.31,https://drive.google.com/drive/folders/1WLpKW2jGZal8JHRnE_S5GUSUBV5x1Rvl?usp=drive_link
Januari 2023,Manulife,GRO_Dana_Saham,Agresif,95.94,4.06,0,100,1,-11.34,-9.81,-8.35,-3.78,-3.71,1310,https://drive.google.com/file/d/1yXKP_HC1rsK5BV36jRM52UAS01kexYs4/view?usp=drive_link
Februari 2023,Manulife,GRO_Dana_Saham,Agresif,96.75,3.25,0,100,-1.03,-8.01,-12.89,-12.04,-1.35,-3.76,1290,https://drive.google.com/file/d/1H9WVIXFX7g5p49jUj7QgBpm-S1eKHmT0/view?usp=drive_link
Maret 2023,Manulife,GRO_Dana_Saham,Agresif,95.91,4.09,0,100,-0.33,-0.37,-11.91,-14.59,9.67,-2.36,1300,https://drive.google.com/file/d/1GU6fjdm6JLnW-uqbYBOeVZ-L_nP_ZmU6/view?usp=drive_link
April 2023,Manulife,GRO_Dana_Saham,Agresif,97.3,2.7,0,100,1.51,0.14,-11.22,-17.21,9.3,-1.35,1340,https://drive.google.com/file/d/1CvhFX_oldAsfYBXoL9ecQqyD-nHf-NEZ/view?usp=drive_link
Januari 2023,Manulife,GRO_Dana_Pasar_Uang,Konservatif,0,100,0,100,0.41,1.02,1.82,3.35,4.43,5.56,9340,https://drive.google.com/file/d/1yK9fFwxqsoiM9VQvVrHwTnWnZN0pTWUx/view?usp=drive_link
Februari 2023,Manulife,GRO_Dana_Pasar_Uang,Konservatif,0,100,0,100,0.39,1.14,1.94,3.53,4.38,5.54,9380,https://drive.google.com/file/d/1egZ8lJ_eBYe57z0NjuAQmv0vAYExM-fs/view?usp=drive_link
Maret 2023,Manulife,GRO_Dana_Pasar_Uang,Konservatif,0,100,0,100,0.46,1.27,2.16,3.71,4.35,5.52,9430,https://drive.google.com/file/d/1xrmhVC3RxGiPKNu1VNV_raXhMH3V35MF/view?usp=drive_link
April 2023,Manulife,GRO_Dana_Pasar_Uang,Konservatif,0,100,0,100,0.42,1.28,2.31,3.91,4.33,5.51,9460,https://drive.google.com/file/d/1O5eBhYh2Mq9nGBI5oyknmdlaZHO_cK_b/view?usp=drive_link
Januari 2023,Manulife,GRO_Dana_Pendapatan_Tetap,Konservatif,0,12.74,87.26,100,1.75,6.08,5.41,5.24,6.85,6.7,2100,https://drive.google.com/file/d/1dr4mJYHEEwHE6LJppUNSzoTO86bmtA_Z/view?usp=drive_link
Februari 2023,Manulife,GRO_Dana_Pendapatan_Tetap,Konservatif,0,10.04,89.97,100.01,-0.15,2.56,4.09,4.64,6.88,6.97,2100,https://drive.google.com/file/d/1vzrABfGfVxxILO2ssiJ7p70OYOlFOKya/view?usp=drive_link
Maret 2023,Manulife,GRO_Dana_Pendapatan_Tetap,Konservatif,0,12.57,87.43,100,0.85,2.46,6.34,6.49,8.95,6.98,2190,https://drive.google.com/file/d/1vxUcEu2WkWqEPVMILEjlE9Qel4uHDSt1/view?usp=drive_link
April 2023,Manulife,GRO_Dana_Pendapatan_Tetap,Konservatif,0,4.77,95.23,100,0.97,1.68,7.86,8.24,8.86,7.37,2240,https://drive.google.com/file/d/1iT7yYM3aqXiU5WAvVdzqfigPMkGuF9yd/view?usp=drive_link
Januari 2023,Manulife,GRO_Dana_Syariah,Konservatif,0,100,0,100,0.46,1.13,1.9,3.36,4.3,5.36,628.85,https://drive.google.com/file/d/1y2zKtJeYUiIzj1p58zYNPaxISERc3bGt/view?usp=drive_link
Februari 2023,Manulife,GRO_Dana_Syariah,Konservatif,0,100,0,100,0.41,1.24,2.05,3.58,4.27,5.35,637.21,https://drive.google.com/file/d/1MPZukCvC0LSH5GCcQgn2ws7snv494DK0/view?usp=drive_link
Maret 2023,Manulife,GRO_Dana_Syariah,Konservatif,0,100,0,100,0.46,1.33,2.27,3.77,4.25,5.34,649.72,https://drive.google.com/file/d/1W8Tu1bAP1kbeXQYOn9DhEPR20daiZ6rR/view?usp=drive_link
April 2023,Manulife,GRO_Dana_Syariah,Konservatif,0,100,0,100,0.41,1.28,2.42,3.96,4.22,5.33,664.39,https://drive.google.com/file/d/1ifOV67fMWaISNzEZ-0eq7QSqcox5k0Mp/view?usp=drive_link
Januari 2023,Manulife,GRO_Dana_US_Dollar,Konservatif,0,100,0,100,-4.29,-3.81,0.03,3.39,4.91,4.2,11.49,https://drive.google.com/file/d/1ztlZZIv2rWCJM0ddfwv1VYCI-9gGELL0/view?usp=drive_link
Februari 2023,Manulife,GRO_Dana_US_Dollar,Konservatif,0,100,0,100,2.08,-2.85,2.93,5.77,4.03,4.23,75.04,https://drive.google.com/file/d/1ASK46kHmAhijzNTrmJcj5kd7L7SrF40I/view?usp=drive_link
Maret 2023,Manulife,GRO_Dana_US_Dollar,Konservatif,0,100,0,100,-1.24,-3.53,-1.12,4.85,-1.24,3.87,75.84,https://drive.google.com/file/d/1X_rC8IHCBByBbZRU46tll0EOsjr-ywHM/view?usp=drive_link
April 2023,Manulife,GRO_Dana_US_Dollar,Konservatif,0,100,0,100,-2.3,-1.51,-5.12,1.93,0.51,3.2,75.35,https://drive.google.com/file/d/1ODQZg6py7eFvcHbav_fBMoZoVVYRUHq_/view?usp=drive_link
Januari 2023,Muamalat,Paket C,Agresif,19.23,80.77,0,100,-0.14,-2.83,-1.6,1.35,-4.75,-17.03,88.06,https://drive.google.com/file/d/1fSlYjp_sMkvnpYrRoHrjIjzMA03CH8j1/view?usp=drive_link
Februari 2023,Muamalat,Paket C,Agresif,19.33,80.67,0,100,0.5,-1.72,-3.64,0.1,6.24,-15.72,88.06,https://drive.google.com/file/d/1QO1TgJ5JUIw3HY5PaqwyP9Q4C85lSXbQ/view?usp=drive_link
Maret 2023,Muamalat,Paket C,Agresif,20.01,79.99,0,100,0.37,0.73,-1.67,-0.35,21.62,-7.51,85.19,https://drive.google.com/file/d/1qMaWaEoTv3oBZAs326yVRJ9V6-okodLi/view?usp=drive_link
April 2023,Muamalat,Paket C,Agresif,23.14,76.85,0,99.99,0.75,1.62,-1.21,-4.68,15.38,-5.92,85.19,https://drive.google.com/file/d/1lPWWWv7988s6aBZWZSVp_oJwJmNQ9tD7/view?usp=drive_link
Januari 2023,Muamalat,Paket A,Konservatif,0,85.17,14.83,100,0.53,1.5,2.58,4.42,17.41,32.7,893.86,https://drive.google.com/file/d/1fSlYjp_sMkvnpYrRoHrjIjzMA03CH8j1/view?usp=drive_link
Februari 2023,Muamalat,Paket A,Konservatif,0,88.88,11.12,100,0.43,1.35,2.64,4.61,17.43,32.5,890.35,https://drive.google.com/file/d/1QO1TgJ5JUIw3HY5PaqwyP9Q4C85lSXbQ/view?usp=drive_link
Maret 2023,Muamalat,Paket A,Konservatif,0,92.57,7.43,100,0.51,1.47,2.83,4.7,17.13,32.51,917.88,https://drive.google.com/file/d/1qMaWaEoTv3oBZAs326yVRJ9V6-okodLi/view?usp=drive_link
April 2023,Muamalat,Paket A,Konservatif,0,89.54,10.46,100,0.45,1.39,2.89,4.92,16.99,32.36,935.28,https://drive.google.com/file/d/1lPWWWv7988s6aBZWZSVp_oJwJmNQ9tD7/view?usp=drive_link
Januari 2023,Muamalat,Paket B,Moderat,0,24.86,75.15,100.01,0.78,2.86,3.22,4.21,21.23,41.07,520.96,https://drive.google.com/file/d/1fSlYjp_sMkvnpYrRoHrjIjzMA03CH8j1/view?usp=drive_link
Februari 2023,Muamalat,Paket B,Moderat,0,24.41,75.59,100,0.01,0.85,2.25,3.36,21.81,40.53,524.52,https://drive.google.com/file/d/1QO1TgJ5JUIw3HY5PaqwyP9Q4C85lSXbQ/view?usp=drive_link
Maret 2023,Muamalat,Paket B,Moderat,0,37.37,62.63,100,0.75,1.54,3.5,4.15,25.94,40.44,521.29,https://drive.google.com/file/d/1qMaWaEoTv3oBZAs326yVRJ9V6-okodLi/view?usp=drive_link
April 2023,Muamalat,Paket B,Moderat,0,35.83,64.17,100,0.69,1.45,4.31,4.91,25.03,40.41,521.29,https://drive.google.com/file/d/1lPWWWv7988s6aBZWZSVp_oJwJmNQ9tD7/view?usp=drive_link
Januari 2023,SimasJaya,Siji_Pensiun_Bahagia,Konservatif,1.14,6.4,92.46,100,1.15,4.02,5.34,8.37,,,67,https://drive.google.com/file/d/1zsh3OJglixdxDnUtkyJEuwIiAu73JfXC/view?usp=drive_link
Februari 2023,SimasJaya,Siji_Pensiun_Bahagia,Konservatif,1.15,5.23,93.62,100,0.17,1.99,3.98,7.33,,,106.39,https://drive.google.com/file/d/1auJXslku0mf5UpL6uHwU66Tsv5O1YAat/view?usp=drive_link
Maret 2023,SimasJaya,Siji_Pensiun_Bahagia,Konservatif,1.08,6.12,92.8,100,0.84,2.16,4.69,7.95,,,110.89,https://drive.google.com/file/d/1rVnt4O1b_simW59dlC_rTRnqL357yFe2/view?usp=drive_link
April 2023,SimasJaya,Siji_Pensiun_Bahagia,Konservatif,1.21,6.49,92.31,100.01,0.98,10.52,6.09,9.17,,,111.76,https://drive.google.com/file/d/1MjqgRWEC-bSRukLgsOYUAwTsIJVlkLJt/view?usp=drive_link
Januari 2023,SimasJaya,Siji_Pensiun_Sejahtera,Konservatif,0,7.96,92.04,100,1.04,4.2,4.72,8.6,,,125,https://drive.google.com/file/d/1woFB9IcVRgCmQlyL94TqLl-RIR3guKH5/view?usp=drive_link
Februari 2023,SimasJaya,Siji_Pensiun_Sejahtera,Konservatif,0,3.94,96.06,100,0.27,1.84,3.43,7.58,,,202.66,https://drive.google.com/file/d/1R3xXwLQKF7t_ZfTSw_xheZZ9tt_LCmMO/view?usp=drive_link
Maret 2023,SimasJaya,Siji_Pensiun_Sejahtera,Konservatif,0,5.19,94.81,100,0.7,2.02,4.87,8.32,,,200.85,https://drive.google.com/file/d/1jrPLLCUxBhuExquc1SRLn_Fi7K7_x00j/view?usp=drive_link
April 2023,SimasJaya,Siji_Pensiun_Sejahtera,Konservatif,0,8.07,91.93,100,0.8,10.53,6.05,9.47,,,230.27,https://drive.google.com/file/d/11vcZNrXP0p7s-oSqRP6Jfziw1BMR1zai/view?usp=drive_link